Date,Prediction
960,1517.9737954761667
961,1915.0948262772713
962,2274.657942954665
963,2595.0461281124617
964,2043.2466217229266
965,1808.8635696345443
966,1521.6852288577425
967,1778.2375727351416
968,2000.4426331817115
969,2022.1940700519626
970,2667.8922384934103
971,2132.9413295611685
972,1911.0794879961613
973,1621.2340340071776
974,1799.7170014295361
975,2010.4557362775581
976,2010.088179045638
977,2677.0826480004625
978,2143.2345538016752
979,1922.1923844751468
980,1632.172306351962
981,1805.5442587060643
982,2015.5323202859806
983,2013.7166863522875
984,2682.105371952324
985,2148.329476320304
986,1927.3409689263117
987,1637.3094585870608
988,1810.346805284593
989,2020.2857221215288
990,2018.3752861477747
991,2686.8552477016738
992,2153.084078733241
993,1932.0990844547275
994,1642.066825676251
995,1815.0822665598066
996,2025.0179660106148
997,2023.1013235791593
998,2691.5872607465208
999,2157.816401221192
1000,1936.8316369377574
1001,1646.799329160795
1002,1819.8133359242856
1003,2029.7488247406927
1004,2027.8317759876306
1005,2696.3181043637906
1006,2162.547265096945
1007,1941.5625158707257
1008,1651.5302048859523
1009,1824.5441177611096
1010,2034.4795927877976
1011,2032.5625174338538
1012,2701.048871421497
1013,2167.2780334809245
1014,1946.2932852404642
1015,1656.2609740456835
1016,1829.2748807742012
1017,2039.2103548981102
1018,2037.2932778026716
1019,2705.779633467036
1020,2172.008795613292
1021,1951.0240474373668
1022,1660.9917362288377
1023,1834.00564255495
1024,2043.9411166197563
1025,2042.0240394103064
1026,2710.510395184441
1027,2176.7395573363815
1028,1955.7548091646815
1029,1665.722497955252
1030,1838.7364042550198
1031,2048.6718783159567
1032,2046.7548010990427
1033,2715.2411568803645
1034,2181.4703190326763
1035,1960.4855708612527
1036,1670.4532596517643
1037,1843.4671659498076
1038,2053.402640010491
1039,2051.485562793088
1040,2719.97191857488
1041,2186.201080727217
1042,1965.2163325558115
1043,1675.1840213463192
1044,1848.1979276442491
1045,2058.133401704916
1046,2056.216324487482
1047,2724.7026802693044
1048,2190.9318424216426
1049,1969.9470942502385
1050,1679.9147830407455
1051,1852.9286893386684
1052,2062.8641633993343
1053,2060.9470861818977
1054,2729.433441963722
1055,2195.6626041160603
1056,1974.6778559446561
1057,1684.6455447351636
1058,1857.659451033086
1059,2067.594925093752
1060,2065.6778478763154
1061,2734.16420365814
1062,2200.3933658104784
1063,1979.4086176390742
1064,1689.3763064295817
1065,1862.3902127275041
1066,2072.32568678817
1067,2070.408609570733
1068,2738.894965352558
1069,2205.124127504896
1070,1984.139379333492
1071,1694.1070681239994
1072,1867.1209744219218
1073,2077.0564484825877
1074,2075.1393712651507
1075,2743.6257270469755
1076,2209.8548891993137
1077,1988.8701410279095
1078,1698.837829818417
1079,1871.8517361163395
1080,2081.7872101770054
1081,2079.8701329595683
1082,2748.356488741393
1083,2214.5856508937313
1084,1993.6009027223272
1085,1703.5685915128347
1086,1876.582497810757
1087,2086.517971871423
1088,2084.600894653986
1089,2753.087250435811
1090,2219.316412588149
1091,1998.3316644167448
1092,1708.2993532072524
1093,1881.3132595051748
1094,2091.2487335658407
1095,2089.3316563484036
1096,2757.8180121302285
1097,2224.0471742825666
1098,2003.0624261111625
1099,1713.03011490167
1100,1886.0440211995924
1101,2095.9794952602583
1102,2094.0624180428213
1103,2762.548773824646
1104,2228.7779359769843
1105,2007.7931878055801
1106,1717.7608765960877
1107,1890.77478289401
1108,2100.710256954676
1109,2098.793179737239
1110,2767.2795355190638
1111,2233.508697671402
1112,2012.5239494999978
1113,1722.4916382905053
1114,1895.5055445884277
1115,2105.4410186490936
1116,2103.5239414316566
1117,2772.0102972134814
1118,2238.2394593658196
1119,2017.2547111944154
1120,1727.222399984923
1121,1900.2363062828454
1122,2110.1717803435113
1123,2108.254703126074
1124,2776.741058907899
1125,2242.9702210602372
1126,2021.985472888833
1127,1731.9531616793406
1128,1904.967067977263
1129,2114.902542037929
1130,2112.985464820492
1131,2781.4718206023167
1132,2247.700982754655
1133,2026.7162345832508
1134,1736.6839233737583
1135,1909.6978296716807
1136,2119.6333037323466
1137,2117.7162265149095
1138,2786.2025822967344
1139,2252.4317444490725
1140,2031.4469962776684
1141,1741.414685068176
1142,1914.4285913660983
1143,2124.3640654267642
1144,2122.446988209327
1145,2790.933343991152
1146,2257.16250614349
1147,2036.177757972086
1148,1746.1454467625936
1149,1919.159353060516
1150,2129.094827121182
1151,2127.177749903745
1152,2795.6641056855697
1153,2261.893267837908
1154,2040.9085196665037
1155,1750.8762084570112
1156,1923.8901147549336
1157,2133.8255888155995
1158,2131.9085115981625
1159,2800.3948673799873
1160,2266.6240295323255
1161,2045.6392813609214
1162,1755.6069701514289
1163,1928.6208764493513
1164,2138.556350510017
1165,2136.63927329258
1166,2805.125629074405
1167,2271.354791226743
1168,2050.370043055339
1169,1760.3377318458465
1170,1933.351638143769
1171,2143.287112204435
1172,2141.370034986998
1173,2809.8563907688226
1174,2276.085552921161
1175,2055.1008047497567
1176,1765.0684935402642
1177,1938.0823998381866
1178,2148.0178738988525
1179,2146.1007966814154
1180,2814.5871524632403
1181,2280.8163146155784
1182,2059.8315664441743
1183,1769.7992552346818
1184,1942.8131615326042
1185,2152.74863559327
1186,2150.831558375833
1187,2819.317914157658
1188,2285.547076309996
1189,2064.562328138592
1190,1774.5300169290995
1191,1947.5439232270219
1192,2157.479397287688
1193,2155.5623200702507
1194,2824.0486758520756
1195,2290.2778380044138
1196,2069.2930898330096
1197,1779.2607786235171
1198,1952.2746849214395
1199,2162.2101589821054
