Date,Forecast
2018-04-13,1562.523378122744
2018-04-14,2028.5105361384715
2018-04-15,1894.1439248058523
2018-04-16,1737.382260999676
2018-04-17,2070.2298098306587
2018-04-18,1912.1907483198454
2018-04-19,1267.0792393260272
2018-04-20,1606.7361599365083
2018-04-21,2044.8945279804302
2018-04-22,1879.351771146965
2018-04-23,1689.1605942300416
2018-04-24,1987.4762164912597
2018-04-25,1794.977967556453
2018-04-26,1116.6465013736893
2018-04-27,1425.4484460011495
2018-04-28,1836.1713693734937
2018-04-29,1647.5679835249916
2018-04-30,1439.5220425407224
2018-05-01,1725.8743106473357
2018-05-02,1527.827083642598
2018-05-03,850.7088972658123
2018-05-04,1167.6514860748916
2018-05-05,1593.4219864631639
2018-05-06,1426.569287149138
2018-05-07,1246.5968337980116
2018-05-08,1566.7999928476727
2018-05-09,1407.6860733820072
2018-05-10,773.7581560900505
2018-05-11,1137.2142230596737
2018-05-12,1611.8039442465579
