Date,Prediction
2018-04-13,1562.523378122744
2018-04-14,2028.5105361384715
2018-04-15,1894.1439248058523
2018-04-16,1737.382260999676
2018-04-17,2070.2298098306587
2018-04-20,1912.1907483198454
2018-04-21,1267.0792393260272
2018-04-22,1606.7361599365083
2018-04-23,2044.8945279804302
2018-04-24,1879.351771146965
2018-04-25,1689.1605942300416
2018-04-26,1987.4762164912597
2018-04-27,1794.977967556453
2018-04-28,1116.6465013736893
2018-04-29,1425.4484460011495
2018-04-30,1836.1713693734937
2018-05-01,1647.5679835249916
2018-05-02,1439.5220425407224
2018-05-03,1725.8743106473357
2018-05-04,1527.827083642598
2018-05-05,850.7088972658123
2018-05-06,1167.6514860748916
2018-05-07,1593.4219864631639
2018-05-08,1426.569287149138
2018-05-09,1246.5968337980116
2018-05-11,1566.7999928476727
2018-05-12,1407.6860733820072
2018-05-13,773.7581560900505
2018-05-14,1137.2142230596742
2018-05-15,1611.8039442465579
2018-05-16,1495.0013365250015
2018-05-18,1365.204884685022
2018-05-19,1734.6025018515388
2018-05-20,1622.6187102513618
2018-05-21,1032.724501888004
2018-05-22,1436.160729729609
2018-05-23,1945.8168044656582
2018-05-25,1858.4224082790856
2018-05-26,1751.7633984840916
2018-05-27,2137.5589587619547
2018-05-28,2034.9171619757074
2018-05-29,1447.1492929780293
2018-05-30,1845.4937767991905
2018-06-01,2342.9915849957424
2018-06-02,2236.671026842794
2018-06-03,2104.7533826459576
2018-06-04,2459.5168002988994
2018-06-05,2320.7360490906544
2018-06-06,1692.4789621405969
2018-06-08,2046.810933872669
2018-06-09,2497.649889093522
2018-06-10,2342.930181218174
2018-06-11,2161.787419596185
2018-06-12,2467.402167064653
2018-06-13,2280.4205854343604
2018-06-15,1605.7332958672823
2018-06-16,1916.164197636082
2018-06-17,2326.3119723175373
2018-06-18,2134.7029686542023
2018-06-19,1920.9676294179003
2018-06-20,2198.6784847951863
2018-06-21,1988.7677965337243
2018-06-22,1296.3060524040777
2018-06-24,1594.1929183612524
2018-06-25,1997.003177515142
2018-06-26,1803.1460999787073
2018-06-27,1592.0501101767882
2018-06-29,1877.0104485663242
2018-06-30,1678.6175628326225
2018-07-01,1001.5470687286552
2018-07-02,1318.2625296957644
2018-07-03,1742.873238014553
2018-07-05,1573.3051170795327
2018-07-06,1388.496317638027
2018-07-07,1701.2549495711035
2018-07-08,1531.6964731556432
2018-07-09,884.0414276274641
2018-07-10,1230.3246350465724
2018-07-11,1684.2580032655787
2018-07-12,1543.4050397971814
2018-07-13,1386.3786903166254
2018-07-14,1725.7000287708593
2018-07-15,1581.2354475752668
2018-07-16,956.9931828172521
2018-07-17,1324.8304947098632
2018-07-18,1798.3138265233474
2018-07-20,1674.8902620118354
2018-07-21,1533.0821038236813
2018-07-22,1885.3423010573051
2018-07-23,1751.488560560539
2018-07-24,1135.497141124556
2018-07-25,1509.2077875800237
2018-07-26,1986.182232418654
2018-07-27,1863.8746541174016
2018-07-28,1720.8259462884948
2018-07-29,2069.519519762288
